epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4128.94,0.64904,0.39984,0.78799,0.9998,1,0.995,0.8668,0.62524,0.49595,0.84239,0.0017162,0.0017162,0.0017162
45,4223.96,0.65142,0.39492,0.79818,0.99981,1,0.995,0.86021,0.60295,0.44992,0.83786,0.0017096,0.0017096,0.0017096
46,4316.21,0.64903,0.40258,0.79366,0.99985,1,0.995,0.85854,0.61535,0.52691,0.84002,0.001703,0.001703,0.001703
47,4407.88,0.61727,0.37676,0.77946,0.99987,1,0.995,0.86107,0.63691,0.42406,0.84047,0.0016964,0.0016964,0.0016964
48,4502.63,0.64996,0.39793,0.80233,0.99991,1,0.995,0.85499,0.6162,0.44828,0.84026,0.0016898,0.0016898,0.0016898
49,4597.19,0.60452,0.37291,0.77743,0.99979,1,0.995,0.86557,0.61056,0.41284,0.835,0.0016832,0.0016832,0.0016832
50,4692.04,0.65634,0.39143,0.78766,0.99887,0.999,0.99489,0.85058,0.64175,0.44991,0.8505,0.0016766,0.0016766,0.0016766
51,4786.84,0.62504,0.38359,0.78259,0.99989,1,0.995,0.8879,0.56923,0.39123,0.83225,0.00167,0.00167,0.00167
52,4882.25,0.61452,0.37451,0.77711,0.99979,1,0.995,0.86208,0.59015,0.41416,0.83768,0.0016634,0.0016634,0.0016634
53,4976.97,0.61491,0.38031,0.78445,0.99986,1,0.995,0.88935,0.54257,0.40094,0.82862,0.0016568,0.0016568,0.0016568
54,5070.94,0.60861,0.36885,0.78251,0.99986,1,0.995,0.88191,0.5764,0.37842,0.83056,0.0016502,0.0016502,0.0016502
55,5164.7,0.62332,0.38276,0.78572,0.99991,1,0.995,0.83292,0.68352,0.46707,0.85209,0.0016436,0.0016436,0.0016436
56,5259.2,0.63641,0.38103,0.77219,0.99975,1,0.995,0.87298,0.5832,0.46755,0.83186,0.001637,0.001637,0.001637
57,5354.03,0.595,0.36896,0.77756,0.9999,1,0.995,0.86066,0.62815,0.42392,0.84171,0.0016304,0.0016304,0.0016304
58,5448.7,0.58892,0.3622,0.77214,0.99898,1,0.995,0.88497,0.54211,0.41092,0.83103,0.0016238,0.0016238,0.0016238
59,5543.23,0.58568,0.36364,0.7717,0.9999,1,0.995,0.88371,0.57806,0.39794,0.83389,0.0016172,0.0016172,0.0016172
60,5638.24,0.63783,0.37956,0.78343,0.9999,1,0.995,0.86772,0.5891,0.40592,0.83295,0.0016106,0.0016106,0.0016106
61,5734.23,0.59967,0.36782,0.77172,0.99991,1,0.995,0.8707,0.58813,0.40855,0.83787,0.001604,0.001604,0.001604
62,5828.89,0.60738,0.37291,0.77852,0.9999,1,0.995,0.87624,0.60755,0.4205,0.83404,0.0015974,0.0015974,0.0015974
63,5923.07,0.60244,0.37089,0.77793,0.9999,1,0.995,0.88799,0.54741,0.38115,0.82925,0.0015908,0.0015908,0.0015908
64,6017.96,0.61366,0.37223,0.79111,0.99988,1,0.995,0.8607,0.61374,0.39853,0.83823,0.0015842,0.0015842,0.0015842
65,6109.98,0.61211,0.37593,0.78621,0.99971,1,0.995,0.86398,0.55644,0.47464,0.83016,0.0015776,0.0015776,0.0015776
